	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)
VARIABLES	ADRBlue	ADRMinusDS	ARCO_US	BCS	BrazilCDS	BrazilEquity	DSBlue	EqIndex_US	INDEX_US	MexicoCDS	MexicoEquity	NMLbond2020	NMLbond2030	OfficialRate	PBR_US	SoybeanFutures_US	TS_US	TX_US	ValueBankINDEXDelev_US	ValueBankINDEXNew_US	ValueBankIndexAcct_US	ValueINDEXDelev_US	ValueINDEXNew_US	ValueIndexAcct_US	ValueNonFinINDEXDelev_US	ValueNonFinINDEXNew_US	ValueNonFinIndexAcct_US	ValueREINDEXDelev_US	ValueREINDEXNew_US	ValueREIndexAcct_US	YPF_US	boden15_ars	boden15_usd	bonarx_ars	bonarx_usd	defbond_eur	dolarblue	rsbond_usd_disc	rsbond_usd_par
																																							
cds_	12.39	6.163	12.09	13.95	13.54	1.967	10.60	-45.59	-75.27	7.439	1.932	29.52	0.715	-0.00539	4.271	-8.996	-0.404	-11.66	-10.47	-79.05	-79.05	-15.43	-57.80	-57.68	-26.80	-56.01	-56.01	-12.36	-23.06	-22.43	-88.14	-45.39	-48.07	-27.46	-47.76	-49.55	10.17	-119.7	-23.48
	(13.21)	(14.67)	(10.18)	(12.56)	(17.05)	(5.360)	(5.147)	(11.95)	(14.36)	(10.02)	(3.655)	(49.68)	(31.42)	(1.236)	(9.612)	(9.282)	(6.775)	(13.65)	(1.743)	(11.97)	(11.97)	(3.581)	(11.77)	(11.78)	(9.050)	(17.81)	(17.81)	(9.138)	(24.25)	(24.59)	(19.67)	(11.01)	(12.47)	(8.557)	(8.115)	(41.26)	(2.665)	(10.65)	(15.17)
																																							
Observations	353	353	390	356	392	401	401	401	401	399	401	258	258	401	401	377	401	401	401	401	401	401	401	401	401	401	401	401	401	401	401	354	401	356	401	258	355	397	401
R-squared	0.120	0.072	0.219	0.120	0.546	0.570	0.024	0.361	0.373	0.555	0.598	0.030	0.048	0.084	0.417	0.057	0.591	0.438	0.280	0.330	0.330	0.374	0.409	0.410	0.347	0.360	0.360	0.076	0.072	0.068	0.195	0.126	0.435	0.105	0.511	0.024	0.025	0.334	0.126
CI_1_90_L	-15.42	-24.37	-17.15	-7.187	-32.34	-8.601	-5.999	-70.36	-101.3	-12.49	-6.684	-116.5	-47.40	-2.584	-20.06	-25.07	-14.84	-38.53	-14.20	-102.2	-102.2	-23.79	-82.49	-82.47	-47.02	-89.87	-89.87	-28.58	-75.93	-75.46	-124.7	-65.08	-75.16	-42.95	-69.01	-172.1	4.817	-139.3	-48.59
CI_1_90_H	60.77	64.29	38.16	57.90	50.55	11.15	18.85	-18.06	-45.87	25.08	6.702	112.8	89.32	1.699	21.50	23.67	9.806	11.59	-7.096	-61.39	-61.39	-8.673	-37.57	-37.37	-3.659	-16.83	-16.83	7.646	43.64	44.78	-46.18	-9.508	0.784	-4.118	-16.78	64.61	15.38	-86.38	23.83
CI_1_95_L	-23.66	-34.33	-25.70	-14.65	-47.67	-11.51	-8.652	-75.40	-107.3	-15.73	-8.103	-154.1	-62.19	-3.226	-26.44	-30.76	-18.46	-65.66	-14.99	-109.8	-109.8	-26.79	-86.04	-85.97	-55.39	-105.6	-105.6	-31.50	-87.98	-91.86	-136.1	-69.66	-84.08	-45.96	-74.25	-208.6	3.254	-145.3	-56.03
CI_1_95_H	76.08	74.67	41.61	66.66	63.59	13.81	21.66	-11.67	-37.01	29.59	7.628	127.5	103.2	2.103	27.50	31.80	12.94	16.82	-6.208	-55.98	-55.98	-6.368	-33.88	-33.53	1.013	-7.700	-7.700	11.48	64.46	64.50	-36.29	0.119	19.06	2.128	-7.154	94.23	16.44	-71.49	41.11
CI_1_99_L	-44.95	-59.31	-36.30	-35.60	-70.39	-19.02	-16.04	-93.09	-124.9	-26.23	-12.23	-243.6	-131.5	-4.961	-35.37	-45.06	-24.07	-103.3	-16.93	-125.4	-125.4	-36.22	-99.90	-99.64	-79.86	-130.5	-130.5	-40.29	-119.4	-122.6	-169.2	-85.17	-107.5	-58.41	-105.8	-365.7	-1.295	-157.8	-74.37
CI_1_99_H	117.1	107.6	51.11	82.95	98.51	25.41	28.67	5.122	-5.107	36.41	9.636	159.2	142.1	3.028	43.15	61.43	38.13	31.72	-4.981	-40.04	-40.04	-0.292	-23.59	-23.51	16.18	13.22	13.22	18.15	113.8	123.2	-1.806	58.68	45.51	36.92	43.41	151.5	18.55	-49.23	84.61
WID F-Stat	7699	7699	10252	7827	4232	4751	4751	4751	4751	4747	4751	4131	4131	4751	4751	6297	4751	4751	4751	4751	4751	4751	4751	4751	4751	4751	4751	4751	4751	4751	4751	7849	4751	7827	4751	4131	7674	4785	4751
Num Firms	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Num Events	14	14	15	14	14	15	15	15	15	15	15	15	15	15	15	12	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	14	15	14	15	15	14	15	15
