	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)
VARIABLES	ARGENT_DTRI	AUST_DTRI	BELG_DTRI	BHREIN_DTRI	BRAZIL_DTRI	CHILE_DTRI	CHINA_DTRI	COLOM_DTRI	CROATI_DTRI	CYPRUS_DTRI	EGYPT_DTRI	EquityIndAustralia	EquityIndBRL	EquityIndChile	EquityIndCyprus	EquityIndGreece	EquityIndIndonesia	EquityIndMEX	EquityIndPeru	EquityIndUruguay	FRTR_DTRI	ICELND_DTRI	INDON_DTRI	IRELND_DTRI	ITALY_DTRI	JAPAN_DTRI	KAZAKS_DTRI	KOREA_DTRI	MALAYS_DTRI	MEX_DTRI	MOROC_DTRI	PANAMA_DTRI	PERU_DTRI	PHILIP_DTRI	PORTUG_DTRI	ROMANI_DTRI	RUSSIA_DTRI	SOAF_DTRI	SPAIN_DTRI	THAI_DTRI	TURKEY_DTRI	UKRAIN_DTRI	VENZ_DTRI	VIETNM_DTRI	bb_tri_def5y_DTRI	ds_tri_def5y_DTRI	mC5_5y_DTRI	tri_conH_def5y_DTRI	tri_def5y_DTRI
																																																	
cds_	1.199	0.00829	0.0154	0.00776	0.0427	0.0235	0.00941	0.0349	0.0290	0.0729	0.0158	-3.058	38.58	-12.86	9.845	1.227	-2.688	-10.75	-2.105	-11.41	0.0224	-0.00515	0.0194	-0.00555	-0.00231	0.00616	0.0358	0.00425	0.00123	0.0367	-0.00643	0.0335	0.0333	0.0178	0.00369	0.0249	0.0558	0.0364	-0.00267	0.00681	0.0500	0.105	0.172	-0.00470	83.98	86.98	100.00	104.1	97.93
	(0.0371)	(0.00644)	(0.0100)	(0.00684)	(0.00937)	(0.00498)	(0.00824)	(0.00697)	(0.0116)	(0.0396)	(0.0161)	(3.119)	(49.37)	(3.309)	(10.94)	(9.804)	(4.405)	(2.852)	(3.860)	(3.182)	(0.00795)	(0.00808)	(0.0148)	(0.0170)	(0.0172)	(0.00622)	(0.00949)	(0.00772)	(0.00820)	(0.00696)	(0.00703)	(0.00658)	(0.00711)	(0.0110)	(0.0280)	(0.00981)	(0.0137)	(0.00958)	(0.0198)	(0.00769)	(0.0116)	(0.0364)	(0.0268)	(0.0169)	(6.795)	(5.412)	(9.61e-06)	(4.370)	(3.661)
																																																	
Observations	401	401	401	401	401	401	401	401	401	401	401	399	394	401	358	401	401	401	383	370	401	401	401	401	401	401	401	401	401	401	401	401	401	401	401	401	401	401	401	401	401	401	401	401	398	388	401	401	1,187
R-squared	0.945	0.368	0.308	0.195	0.534	0.541	0.426	0.612	0.430	0.053	0.132	0.552	0.012	0.487	0.090	0.241	0.224	0.628	0.231	0.159	0.411	0.053	0.353	0.129	0.277	0.211	0.515	0.404	0.357	0.637	0.235	0.640	0.530	0.351	0.157	0.476	0.485	0.464	0.209	0.392	0.469	0.190	0.387	0.231	0.709	0.728	1.000	0.913	0.797
CI_1_90_L	1.125	-0.00323	-0.00134	-0.00313	0.0273	0.0146	-0.00597	0.0226	0.00901	-0.00430	-0.0149	-8.253	-69.85	-18.33	-7.805	-17.85	-10.30	-15.29	-8.458	-16.33	0.00824	-0.0183	-0.00640	-0.0320	-0.0289	-0.00453	0.0197	-0.00872	-0.0126	0.0245	-0.0197	0.0220	0.0209	-0.00174	-0.0420	0.00830	0.0309	0.0208	-0.0329	-0.00536	0.0290	0.0340	0.129	-0.0288	68.49	78.21	100	93.26	90.69
CI_1_90_H	1.257	0.0182	0.0309	0.0186	0.0580	0.0306	0.0235	0.0457	0.0465	0.137	0.0396	2.063	102.6	-7.269	27.52	19.46	4.782	-6.154	3.779	-5.267	0.0348	0.00913	0.0465	0.0233	0.0281	0.0172	0.0511	0.0173	0.0153	0.0472	0.00456	0.0432	0.0436	0.0361	0.0562	0.0398	0.0783	0.0526	0.0327	0.0206	0.0682	0.162	0.217	0.0342	95.14	96.71	100	110.7	104.8
