	(1)	(2)	(3)	(4)
VARIABLES	ValueINDEXNew_US	eurotlx	gdpw_bfeur	gdpw_bfusd
				
cds_	-42.38	-62.70	-63.28	-48.39
	(7.361)	(5.923)	(19.15)	(13.60)
				
Observations	405	395	392	352
R-squared	0.337	0.536	0.106	0.153
CI_1_90_L	-55.55	-71.98	-93.31	-71.08
CI_1_90_H	-28.60	-52.22	-23.92	-23.16
CI_1_95_L	-57.65	-74.06	-99.25	-74.96
CI_1_95_H	-25.74	-50.39	-19.15	-18.40
CI_1_99_L	-60.67	-77.18	-112.8	-82.35
CI_1_99_H	-22.18	-44.57	-6.867	-6.398
F-Stat	39.81	30.27	11.47	9.222
Num Firms	1	1	1	1
Num Events	15	16	13	10
