	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)
VARIABLES	ARGENT_DTRI	AUST_DTRI	BELG_DTRI	BHREIN_DTRI	BRAZIL_DTRI	CHILE_DTRI	CHINA_DTRI	COLOM_DTRI	CROATI_DTRI	CYPRUS_DTRI	EGYPT_DTRI	EquityIndAustralia	EquityIndBRL	EquityIndChile	EquityIndCyprus	EquityIndGreece	EquityIndIndonesia	EquityIndMEX	EquityIndPeru	EquityIndUruguay	FRTR_DTRI	ICELND_DTRI	INDON_DTRI	IRELND_DTRI	ITALY_DTRI	JAPAN_DTRI	KAZAKS_DTRI	KOREA_DTRI	MALAYS_DTRI	MEX_DTRI	MOROC_DTRI	PANAMA_DTRI	PERU_DTRI	PHILIP_DTRI	PORTUG_DTRI	ROMANI_DTRI	RUSSIA_DTRI	SOAF_DTRI	SPAIN_DTRI	THAI_DTRI	TURKEY_DTRI	UKRAIN_DTRI	VENZ_DTRI	VIETNM_DTRI	bb_tri_def5y_DTRI	ds_tri_def5y_DTRI	mC5_5y_DTRI	tri_conH_def5y_DTRI	tri_def5y_DTRI
																																																	
cds_	1.384	-0.00547	0.0108	-0.00337	0.00191	-0.00376	-0.00752	0.00157	-0.0239	0.119	-0.0227	9.892	9.103	-6.255	18.90	11.94	12.09	-0.250	16.23	-1.528	-0.00211	0.0171	-0.0158	-0.0238	-0.0271	-0.00399	0.0151	-0.0170	-0.0220	-0.000665	-0.0156	-0.00605	-0.00359	-0.0122	0.00355	-0.00370	0.0331	0.0197	-0.0162	-0.0136	0.0112	0.128	0.0240	-0.0646	85.70	129.1	100.00	115.2	115.6
	(0.0687)	(0.00781)	(0.0111)	(0.00504)	(0.0120)	(0.00761)	(0.0119)	(0.00822)	(0.0136)	(0.0660)	(0.0248)	(5.341)	(21.05)	(4.823)	(18.97)	(22.42)	(8.267)	(3.718)	(6.283)	(2.323)	(0.00923)	(0.0173)	(0.0192)	(0.0280)	(0.0352)	(0.0100)	(0.0135)	(0.0114)	(0.0111)	(0.00763)	(0.0140)	(0.00677)	(0.00780)	(0.00902)	(0.0347)	(0.00774)	(0.0268)	(0.0225)	(0.0452)	(0.0130)	(0.0145)	(0.116)	(0.0480)	(0.0566)	(15.41)	(9.968)	(2.52e-05)	(8.884)	(9.650)
																																																	
Observations	401	401	401	401	401	401	401	401	401	401	401	399	394	401	358	401	401	401	383	370	401	401	401	401	401	401	401	401	401	401	401	401	401	401	401	401	401	401	401	401	401	401	401	401	398	388	401	401	1,187
R-squared	0.926	0.365	0.308	0.193	0.503	0.507	0.421	0.586	0.405	0.051	0.123	0.536	0.012	0.483	0.089	0.238	0.208	0.618	0.207	0.143	0.402	0.043	0.346	0.128	0.275	0.207	0.510	0.397	0.348	0.604	0.233	0.600	0.500	0.343	0.157	0.468	0.480	0.460	0.208	0.385	0.454	0.190	0.341	0.205	0.708	0.592	1.000	0.905	0.775
CI_1_90_L	1.239	-0.0224	-0.0119	-0.0112	-0.0185	-0.0165	-0.0240	-0.0112	-0.0426	-0.0706	-0.0626	-2.241	-18.34	-16.47	-14.12	-41.52	-3.903	-7.821	1.016	-5.398	-0.0169	-0.0552	-0.0533	-0.0643	-0.0854	-0.0206	-0.0137	-0.0326	-0.0374	-0.0125	-0.0357	-0.0155	-0.0155	-0.0244	-0.0497	-0.0168	-0.0367	-0.0290	-0.0998	-0.0321	-0.0148	-0.321	-0.0638	-0.140	48.52	112.1	100	95.23	105.1
CI_1_90_H	1.499	0.00839	0.0320	0.00375	0.0222	0.0132	0.0276	0.0165	0.00666	0.207	0.0264	17.64	32.08	6.654	60.25	71.65	23.71	4.385	28.58	1.694	0.0183	0.0478	0.0150	0.0691	0.0432	0.0289	0.0343	0.0144	-0.000705	0.0140	0.0156	0.00698	0.0112	0.00700	0.0667	0.0102	0.0780	0.0729	0.0895	0.0142	0.0333	0.353	0.143	0.504	119.1	144.3	100	140.5	129.3
