	(1)	(2)	(3)	(4)
VARIABLES	ValueINDEXNew_US	eurotlx	gdpw_bfeur	gdpw_bfusd
				
cds_	-54.76	-90.14	-101.3	-33.59
	(16.96)	(16.02)	(88.20)	(25.46)
				
Observations	405	395	392	352
R-squared	0.330	0.453	0.083	0.148
CI_1_90_L	-91.32	-124.5	-373	-118.1
CI_1_90_H	-23.56	-46.88	92.49	42.41
CI_1_95_L	-102.1	-132.3	-588.8	-165.6
CI_1_95_H	-19.96	-27.09	205.2	66.22
CI_1_99_L	-128.4	-162.8	-1150	-257.7
CI_1_99_H	-5.302	27.69	522.4	126.8
WID F-Stat	127.3	235.9	130.5	150.4
Num Firms	1	1	1	1
Num Events	15	16	13	10
