	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	ADRBlue	BCS	INDEX_US	OfficialRate	ValueBankINDEXNew_US	ValueINDEXNew_US	ValueNonFinINDEXNew_US	YPF_US	dolarblue
									
cds_	0.0637	0.0697	-0.625	-0.00785	-0.645	-0.458	-0.448	-0.771	0.0832
	(0.137)	(0.156)	(0.137)	(0.0115)	(0.124)	(0.125)	(0.167)	(0.177)	(0.0253)
									
Observations	353	356	401	401	401	401	401	401	355
R-squared	0.105	0.085	0.400	0.079	0.342	0.423	0.377	0.216	0.025
CI_1_90_L	-0.245	-0.282	-0.853	-0.0237	-0.943	-0.756	-0.781	-1.067	0.0352
CI_1_90_H	0.684	0.780	-0.383	0.0140	-0.479	-0.279	-0.114	-0.381	0.127
CI_1_95_L	-0.360	-0.397	-0.907	-0.0279	-0.981	-0.812	-0.891	-1.143	0.0220
CI_1_95_H	0.910	0.997	-0.327	0.0180	-0.428	-0.247	-0.0624	-0.322	0.139
CI_1_99_L	-0.732	-0.820	-1.015	-0.0370	-1.037	-0.918	-1.112	-1.367	-0.00816
CI_1_99_H	1.547	1.429	-0.103	0.0259	-0.283	-0.179	0.124	0.0289	0.162
WID F-Stat	799.3	815.9	658.1	658.1	658.1	658.1	658.1	658.1	810.8
Num Firms	1	1	1	1	1	1	1	1	1
Num Events	14	14	15	15	15	15	15	15	14
