	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	ADRBlue	BCS	INDEX_US	OfficialRate	ValueBankINDEXNew_US	ValueINDEXNew_US	ValueNonFinINDEXNew_US	YPF_US	dolarblue
									
cds_	0.00817	0.0151	-0.197	-0.00334	-0.199	-0.135	-0.134	-0.251	0.0283
	(0.0469)	(0.0534)	(0.0504)	(0.00307)	(0.0493)	(0.0503)	(0.0602)	(0.0587)	(0.00827)
									
Observations	355	358	405	405	405	405	405	405	357
R-squared	0.092	0.064	0.372	0.082	0.312	0.383	0.340	0.215	0.016
CI_1_90_L	-0.146	-0.169	-0.304	-0.00733	-0.314	-0.277	-0.275	-0.377	0.0101
CI_1_90_H	0.291	0.367	-0.112	0.00635	-0.131	-0.0606	-0.0152	-0.100	0.0459
CI_1_95_L	-0.209	-0.236	-0.334	-0.00810	-0.351	-0.319	-0.328	-0.429	0.00576
CI_1_95_H	0.385	0.506	-0.0936	0.00813	-0.106	-0.0455	0.0125	-0.0609	0.0493
CI_1_99_L	-0.423	-0.367	-0.428	-0.00943	-0.489	-0.411	-0.512	-0.540	-0.00334
CI_1_99_H	0.527	0.912	-0.0233	0.0130	-0.0633	0.0437	0.145	0.0195	0.0606
WID F-Stat	3440	3502	2864	2864	2864	2864	2864	2864	3482
Num Firms	1	1	1	1	1	1	1	1	1
Num Events	14	14	15	15	15	15	15	15	14
