	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	ADRBlue	BCS	INDEX_US	OfficialRate	ValueBankINDEXNew_US	ValueINDEXNew_US	ValueNonFinINDEXNew_US	YPF_US	dolarblue
									
cds_	2.446	8.811	-79.47	-0.662	-78.63	-57.48	-59.07	-97.61	12.58
	(18.30)	(21.13)	(17.37)	(1.317)	(15.23)	(15.61)	(22.48)	(21.44)	(3.478)
									
Observations	356	359	404	404	404	404	404	404	358
R-squared	0.100	0.095	0.361	0.078	0.325	0.403	0.351	0.182	0.027
CI_1_90_L	-44.83	-47.32	-106.6	-2.278	-111.4	-86.24	-98.43	-132.8	5.980
CI_1_90_H	97.78	117.8	-43.24	1.665	-56.90	-33.36	-9.577	-37.23	18.21
CI_1_95_L	-61.49	-64.38	-111	-2.532	-116.3	-92.65	-109.9	-146.2	4.559
CI_1_95_H	125	137.6	-33.38	2.245	-51.49	-29.45	2.359	-18.97	19.17
CI_1_99_L	-99.30	-98.70	-121.4	-4.271	-127	-110.9	-142.3	-168.1	0.190
CI_1_99_H	205.7	196.1	-0.132	3.326	-34.58	-14.28	42.05	18.99	20.58
WID F-Stat	233.6	238.3	216	216	216	216	216	216	237.2
Num Firms	1	1	1	1	1	1	1	1	1
Num Events	14	14	15	15	15	15	15	15	14
