	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	ADRBlue	BCS	INDEX_US	OfficialRate	ValueBankINDEXNew_US	ValueINDEXNew_US	ValueNonFinINDEXNew_US	YPF_US	dolarblue
									
cds_	19.19	17.86	-57.53	-0.239	-66.30	-44.00	-40.14	-70.21	12.04
	(11.91)	(14.64)	(16.02)	(1.519)	(21.35)	(12.23)	(14.19)	(22.02)	(4.137)
									
Observations	353	356	402	402	402	402	402	402	355
R-squared	0.117	0.101	0.372	0.080	0.339	0.413	0.351	0.198	0.004
CI_1_90_L	2.493	-7.908	-84.54	-2.376	-124.4	-64.02	-61.51	-105.2	3.637
CI_1_90_H	47.63	65.50	-17.21	2.359	-19.57	-25.50	-18.47	-22.92	17.92
CI_1_95_L	-1.713	-13.07	-90.58	-2.655	-139	-66.86	-65.70	-111.3	2.280
CI_1_95_H	56.53	79.64	-0.199	2.842	-4.049	-22.80	-14.56	-10.84	19.03
CI_1_99_L	-11.34	-25.19	-104.5	-3.436	-161.6	-76.82	-71.06	-122.3	-2.649
CI_1_99_H	74.24	107	19.92	4.168	30.21	-16.38	4.791	20.12	23.21
WID F-Stat	119.9	122.5	145.6	145.6	145.6	145.6	145.6	145.6	121.8
Num Firms	1	1	1	1	1	1	1	1	1
Num Events	14	14	15	15	15	15	15	15	14
