	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	ADRBlue	BCS	INDEX_US	OfficialRate	ValueBankINDEXNew_US	ValueINDEXNew_US	ValueNonFinINDEXNew_US	YPF_US	dolarblue
									
cds_	0.283	0.209	-39.30	-0.627	-40.63	-28.96	-28.84	-49.59	5.701
	(9.757)	(10.93)	(6.689)	(0.620)	(7.696)	(5.833)	(8.084)	(9.212)	(1.092)
									
Observations	355	358	405	405	405	405	405	405	357
R-squared	0.090	0.056	0.381	0.081	0.326	0.401	0.355	0.215	0.020
CI_1_90_L	-26.73	-37.22	-50.74	-1.315	-60.98	-39.05	-43.90	-67.64	3.816
CI_1_90_H	62.85	65.78	-29.82	0.772	-26.48	-21.36	-15.66	-37.03	7.195
CI_1_95_L	-36.58	-44.55	-52.28	-1.462	-67.09	-40.25	-46.17	-70.65	3.382
CI_1_95_H	79.10	82	-27.79	0.946	-24.12	-20.19	-12.62	-33.41	7.517
CI_1_99_L	-84.55	-84.19	-56.72	-1.753	-78.01	-43.07	-53.61	-77.12	2.513
CI_1_99_H	103.6	101	-16.46	1.274	-18.37	-16.92	-1.485	-23.76	8.243
WID F-Stat	1206	1228	916.2	916.2	916.2	916.2	916.2	916.2	1220
Num Firms	1	1	1	1	1	1	1	1	1
Num Events	14	14	15	15	15	15	15	15	14
