	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	ADRBlue	BCS	INDEX_US	OfficialRate	ValueBankINDEXNew_US	ValueINDEXNew_US	ValueNonFinINDEXNew_US	YPF_US	dolarblue
									
cds_	30.09	15.42	-41.91	1.060	-58.07	-41.36	-33.40	-43.33	4.416
	(9.265)	(11.09)	(10.64)	(2.060)	(17.48)	(8.120)	(15.45)	(21.62)	(5.621)
									
Observations	346	349	392	392	392	392	392	392	348
R-squared	0.125	0.102	0.381	0.087	0.339	0.420	0.362	0.195	0.022
CI_1_90_L	1.658	-12.65	-65.22	-6.726	-83.95	-52.80	-67.92	-113.1	-8.150
CI_1_90_H	38.61	35.41	-20.39	3.828	-2.775	-24.17	2.793	-0.964	14.20
CI_1_95_L	-8.023	-22.93	-68.63	-11.19	-93.69	-55.02	-74.62	-122.8	-11.84
CI_1_95_H	40.13	39.22	-12.63	4.206	15.78	-19.46	14.11	9.840	16.53
CI_1_99_L	-20.62	-61.73	-76.13	-20.18	-108.9	-61.45	-101.6	-150.1	-16.94
CI_1_99_H	42.25	52.35	6.699	5.192	52.25	-7.830	38.09	84.10	21.58
WID F-Stat	87.50	89.23	171.3	171.3	171.3	171.3	171.3	171.3	88.73
Num Firms	1	1	1	1	1	1	1	1	1
Num Events	10	10	11	11	11	11	11	11	10
