	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	ADRBlue	BCS	INDEX_US	OfficialRate	ValueBankINDEXNew_US	ValueINDEXNew_US	ValueNonFinINDEXNew_US	YPF_US	dolarblue
									
cds_	10.71	11.01	-79.44	-0.716	-83.16	-60.43	-58.63	-93.69	10.37
	(15.95)	(18.02)	(16.20)	(1.430)	(12.91)	(13.25)	(19.76)	(22.09)	(3.325)
									
Observations	353	356	401	401	401	401	401	401	355
R-squared	0.116	0.101	0.366	0.080	0.325	0.405	0.355	0.189	0.025
CI_1_90_L	-18.72	-22.88	-105.1	-2.824	-108	-84.87	-93	-133.1	4.333
CI_1_90_H	68.71	90.15	-49.31	1.527	-65.19	-39.98	-15.67	-48.56	15.82
CI_1_95_L	-29.40	-33.28	-110.3	-3.221	-112.2	-89.43	-103.4	-141.1	2.983
CI_1_95_H	86.61	106.1	-41.05	1.853	-60.95	-36.18	-9.152	-39.15	16.99
CI_1_99_L	-62.88	-77.64	-121.8	-4.555	-120	-99.91	-125.9	-167.4	-0.186
CI_1_99_H	165.4	146.5	-10.57	2.475	-49.89	-28.08	9.190	-0.566	20.21
WID F-Stat	361	368.5	338.3	338.3	338.3	338.3	338.3	338.3	366.1
Num Firms	1	1	1	1	1	1	1	1	1
Num Events	14	14	15	15	15	15	15	15	14
