	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	ADRBlue	BCS	INDEX_US	OfficialRate	SoybeanFutures_US	ValueBankINDEXNew_US	ValueINDEXNew_US	ValueNonFinINDEXNew_US	YPF_US	dolarblue
										
cds_	11.21	11.51	-79.91	-0.803	-0.143	-83.58	-60.21	-57.91	-95.78	9.889
	(15.36)	(17.58)	(16.29)	(1.483)	(0.112)	(13.13)	(13.26)	(19.67)	(22.52)	(3.065)
										
Observations	353	356	401	401	377	401	401	401	401	355
R-squared	0.126	0.111	0.366	0.080	1.000	0.325	0.406	0.360	0.194	0.030
CI_1_90_L	-17.19	-22.48	-105.7	-2.900	-0.304	-108.9	-84.53	-91.74	-133.2	4.377
CI_1_90_H	65.05	87.01	-49.33	1.562	0.109	-64.72	-39.63	-15.45	-46.53	14.71
CI_1_95_L	-28.65	-31.45	-111.3	-3.410	-0.344	-114.6	-89.52	-101.2	-142.6	3.238
CI_1_95_H	87.30	104.3	-40.83	1.875	0.142	-59.81	-35.63	-9.174	-38.18	15.90
CI_1_99_L	-56.57	-76.80	-121.7	-4.312	-0.432	-122	-98.93	-124.4	-171.4	0.293
CI_1_99_H	155.5	140.1	-7.988	2.494	0.240	-47.38	-26.96	8.978	12.05	17.81
WID F-Stat	382.1	389.4	351.2	351.2	524.6	351.2	351.2	351.2	351.2	387.8
Num Firms	1	1	1	1	1	1	1	1	1	1
Num Events	14	14	15	15	12	15	15	15	15	14
