	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	ADRBlue	BCS	INDEX_US	OfficialRate	ValueBankINDEXNew_US	ValueINDEXNew_US	ValueNonFinINDEXNew_US	YPF_US	dolarblue
									
cds_	5.418	4.891	-55.28	-0.580	-57.98	-42.21	-41.03	-66.46	7.409
	(12.96)	(14.44)	(9.794)	(0.961)	(8.581)	(7.775)	(12.14)	(14.36)	(2.161)
									
Observations	355	358	405	405	405	405	405	405	357
R-squared	0.107	0.079	0.387	0.080	0.332	0.412	0.364	0.212	0.024
CI_1_90_L	-20.31	-29.78	-70.57	-1.811	-72.26	-55	-62.40	-95.17	3.475
CI_1_90_H	74.45	76.40	-39.78	0.982	-44.63	-31.20	-16.73	-41.18	10.95
CI_1_95_L	-32.74	-42.20	-73.71	-2.101	-73.92	-56.78	-67.40	-101	2.452
CI_1_95_H	90.15	85.01	-36.29	1.186	-42.33	-29.07	-12.38	-36.39	11.91
CI_1_99_L	-92.27	-67.84	-82.18	-2.731	-81.01	-61.58	-73.92	-122	0.591
CI_1_99_H	147.1	113.7	-19.54	1.548	-38.81	-24.42	-4.130	-16.98	13.33
WID F-Stat	606.7	619.3	491.6	491.6	491.6	491.6	491.6	491.6	614.6
Num Firms	1	1	1	1	1	1	1	1	1
Num Events	14	14	15	15	15	15	15	15	14
