	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)
VARIABLES	EqIndex_AR	HML_Government_AR	HML_es_industry_AR	HML_export_share_AR	HML_finvar_AR	HML_foreign_own_AR	HML_import_capx_AR	HML_import_intensity_AR	HML_import_rev_AR	HML_indicator_adr_AR	HML_market_cap2011_AR	INDEX_AR	YPFD_AR
													
cds_	-51.23	-27.87	-39.47	1.901	-34.36	-27.96	-7.787	18.41	-6.199	-12.81	-33.72	-73.18	-11.20
	(13.61)	(16.54)	(9.867)	(13.54)	(16.51)	(9.538)	(9.976)	(8.030)	(8.350)	(12.46)	(10.20)	(13.52)	(28.19)
													
Observations	353	353	353	353	353	353	353	353	353	353	353	353	353
R-squared	0.409	0.073	0.246	0.043	0.078	0.121	0.118	0.244	0.091	0.083	0.098	0.410	0.389
CI_1_90_L	-84.10	-63.46	-59.31	-24.21	-68.36	-48.69	-25.61	7.594	-20.72	-41.45	-52.76	-100.6	-86.38
CI_1_90_H	-11.68	-0.848	-23.60	22.28	3.446	-14.12	14.24	33.12	9.371	14.95	-14.87	-37.82	32.15
CI_1_95_L	-92.19	-72	-62.82	-29.18	-78.17	-50.99	-28.76	5.956	-24.66	-46.86	-56.90	-109.6	-102.1
CI_1_95_H	0.403	5.491	-20.63	26.38	13.68	-10.14	19.24	35.52	12.51	23.44	-9.782	-33.20	46.26
CI_1_99_L	-116.3	-84.47	-72.54	-49.32	-105.6	-58.75	-35.58	1.283	-31.02	-61.91	-64.98	-132	-135.2
CI_1_99_H	21.54	23.44	-15.69	43.15	31.94	-3.477	33.76	43.77	18.08	37.86	4.141	-17.87	69.70
WID F-Stat	361	237.3	237.3	237.3	237.3	237.3	237.3	237.3	237.3	237.3	237.3	361	237.3
Num Firms	1	3.173	13.13	4.816	5.906	8.235	13.27	13.89	12.96	15.97	9.941	1	1
Num Events	14	14	14	14	14	14	14	14	14	14	14	14	14
Index Beta	0	-0.333	-0.682	0.0297	0.0198	-0.341	-0.178	0.447	-0.169	0.0679	-0.396	0	0.980
Exchange Rate Beta	0	-0.0448	-0.351	-0.0112	-0.0252	-0.0888	-0.202	0.257	-0.141	0.139	0.0497	0	-0.184
