	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)
VARIABLES	EqIndex_AR	HML_Government_AR	HML_es_industry_AR	HML_export_share_AR	HML_finvar_AR	HML_foreign_own_AR	HML_import_capx_AR	HML_import_intensity_AR	HML_import_rev_AR	HML_indicator_adr_AR	HML_market_cap2011_AR	INDEX_AR	YPFD_AR
													
cds_	-51.23	-27.84	-39.22	1.909	-34.34	-27.90	-7.642	18.22	-6.098	-12.91	-33.76	-73.18	-11.06
	(13.61)	(16.59)	(13.33)	(13.56)	(16.81)	(10.24)	(10.99)	(7.571)	(8.096)	(11.39)	(9.483)	(13.52)	(28.13)
													
Observations	353	353	353	353	353	353	353	353	353	353	353	353	353
R-squared	0.409	0.072	0.192	0.043	0.078	0.112	0.080	0.189	0.065	0.060	0.096	0.410	0.385
CI_1_90_L	-84.10	-64.81	-73.25	-23.83	-71.37	-50.69	-25.89	6.749	-18.68	-39.58	-50.71	-100.6	-90.53
CI_1_90_H	-11.68	-1.650	-11.38	22.64	4.849	-11.74	15.06	32.88	7.458	10.51	-15.70	-37.82	32.64
CI_1_95_L	-92.19	-72.82	-80.49	-27.58	-82.78	-54.60	-31.27	4.853	-21.07	-45.98	-53.94	-109.6	-104.5
CI_1_95_H	0.403	4.936	-6.269	26.39	16.12	-7.692	20.32	35.56	9.547	15.21	-11.82	-33.20	45.54
CI_1_99_L	-116.3	-87.04	-102.7	-42.95	-107	-62.49	-36.27	-3.063	-27.70	-55.76	-61.28	-132	-143.6
CI_1_99_H	21.54	24.08	13.01	42.95	33.61	-0.196	30.48	38.80	13.16	26.23	-3.063	-17.87	68.87
WID F-Stat	361	211.6	211.6	211.6	211.6	211.6	211.6	211.6	211.6	211.6	211.6	361	211.6
Num Firms	1	3.173	13.13	4.816	5.906	8.235	13.27	13.89	12.96	15.97	9.941	1	1
Num Events	14	14	14	14	14	14	14	14	14	14	14	14	14
Index Beta	0	-0.323	-0.604	0.0322	0.0254	-0.321	-0.133	0.390	-0.137	0.0369	-0.408	0	1.021
Exchange Rate Beta	0	0	0	0	0	0	0	0	0	0	0	0	0
