	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)
VARIABLES	Banks_AR	Chems_AR	Diverse_AR	Enrgy_AR	EqIndex_AR	INDEX_AR	Manuf_AR	NoDur_AR	NonFinancial_AR	RlEst_AR	Telcm_AR	Utils_AR	YPFD_AR
													
cds_	-27.49	5.756	15.63	-17.45	-51.23	-73.18	-13.79	-5.701	6.438	16.54	-10.74	34.87	-11.06
	(12.45)	(16.78)	(18.69)	(12.96)	(13.61)	(13.52)	(10.02)	(7.501)	(4.336)	(18.03)	(10.27)	(15.79)	(28.13)
													
Observations	353	351	353	353	353	353	353	353	353	338	353	353	353
R-squared	0.762	0.467	0.349	0.621	0.409	0.410	0.680	0.658	0.974	0.353	0.540	0.759	0.385
CI_1_90_L	-53.60	-33.01	-36.34	-42.27	-84.10	-100.6	-35.46	-19.31	-7.329	-22.09	-34.04	-1.356	-90.53
CI_1_90_H	-2.017	31.62	57.19	5.710	-11.68	-37.82	7.619	4.500	16.69	53.55	4.098	73.43	32.64
CI_1_95_L	-61.01	-38.28	-45.20	-47.36	-92.19	-109.6	-42.14	-23.06	-10.27	-28.13	-37.88	-13.72	-104.5
CI_1_95_H	4.721	37.24	66.49	15.69	0.403	-33.20	11.05	6.036	20.28	71.58	6.658	88.82	45.54
CI_1_99_L	-74.22	-50.29	-63.30	-62.88	-116.3	-132	-50.82	-34.54	-15.89	-40.29	-49.53	-45.80	-143.6
CI_1_99_H	19.62	50.24	84.93	41.48	21.54	-17.87	21.10	8.695	32.24	109	16.31	123.2	68.87
WID F-Stat	211.6	205.6	211.6	211.6	361	361	211.6	211.6	211.6	213.8	211.6	211.6	211.6
Num Firms	5.677	1.889	1	2.901	1	1	3.691	5.272	22.89	1.648	1.909	6.238	1
Num Events	14	14	14	14	14	14	14	14	14	14	14	14	14
Index Beta	1.033	0.896	0.989	0.852	0	0	0.736	0.750	1.015	0.684	0.694	1.605	1.021
Exchange Rate Beta	0	0	0	0	0	0	0	0	0	0	0	0	0
