	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)
VARIABLES	ADRBlue	ADRMinusDS	ARCO_US	BCS	BrazilCDS	BrazilEquity	DSBlue	EqIndex_US	INDEX_US	MexicoCDS	MexicoEquity	NMLbond2020	NMLbond2030	OfficialRate	PBR_US	SoybeanFutures_US	TS_US	TX_US	ValueBankINDEXDelev_US	ValueBankINDEXNew_US	ValueBankIndexAcct_US	ValueINDEXDelev_US	ValueINDEXNew_US	ValueIndexAcct_US	ValueNonFinINDEXDelev_US	ValueNonFinINDEXNew_US	ValueNonFinIndexAcct_US	ValueREINDEXDelev_US	ValueREINDEXNew_US	ValueREIndexAcct_US	YPF_US	boden15_ars	boden15_usd	bonarx_ars	bonarx_usd	defbond_eur	dolarblue	rsbond_usd_disc	rsbond_usd_par
																																							
cds_	20.91	14.32	-11.05	24.72	59.82	-11.40	10.71	-37.53	-50.44	52.16	-6.646	1.840	-5.464	4.183	-14.44	-4.211	-5.620	-20.27	-8.113	-53.89	-53.89	-11.75	-42.35	-42.35	-19.78	-41.32	-41.32	-6.457	-14.88	-8.742	-55.13	-27.29	-43.93	-17.21	-44.53	-18.13	9.689	-88.62	-51.66
	(6.366)	(7.376)	(8.770)	(6.316)	(11.87)	(3.464)	(3.932)	(7.791)	(9.641)	(9.176)	(2.857)	(19.32)	(13.86)	(3.540)	(7.191)	(6.072)	(5.163)	(6.910)	(1.568)	(8.829)	(8.829)	(2.081)	(7.165)	(7.140)	(3.916)	(8.192)	(8.192)	(4.462)	(10.18)	(10.68)	(16.91)	(6.443)	(6.316)	(6.383)	(5.168)	(18.23)	(3.994)	(8.375)	(10.88)
																																							
Observations	353	353	390	356	392	401	401	401	401	399	401	258	258	401	401	377	401	401	401	401	401	401	401	401	401	401	401	401	401	401	401	354	401	356	401	258	355	397	401
R-squared	0.126	0.075	0.232	0.121	0.574	0.580	0.024	0.364	0.392	0.584	0.604	0.024	0.031	0.095	0.426	0.058	0.591	0.437	0.282	0.343	0.343	0.381	0.419	0.420	0.356	0.368	0.368	0.079	0.074	0.072	0.210	0.151	0.418	0.115	0.507	0.018	0.025	0.367	0.142
CI_1_90_L	10.53	1.991	-24.28	15.20	39.26	-16.47	3.572	-50.90	-67.94	36.89	-11.68	-37.27	-27.76	-34.69	-27.23	-15.67	-13.73	-30.20	-10.80	-69.80	-69.80	-15.44	-56.39	-56.21	-26.84	-56.55	-56.55	-14.63	-31.93	-28.19	-84.38	-37.71	-55.69	-27.72	-53.68	-48.28	3.065	-102.5	-69.69
CI_1_90_H	34.61	29.72	6.167	37.49	78.51	-5.652	16.92	-24.05	-32.87	65.67	-2.062	32.60	25.53	8.477	-2.857	5.876	4.320	-5.564	-5.029	-38.90	-38.90	-7.759	-30.22	-30.20	-12.80	-27.12	-27.12	0.442	3.086	9.148	-22.52	-15.11	-31.53	-4.643	-34.62	18.15	16.19	-73.74	-32.98
CI_1_95_L	8.950	-0.338	-26.65	13.23	34.46	-17.52	1.309	-54.12	-70.55	33.20	-12.74	-47.49	-32.73	-39.34	-30.64	-18	-15.29	-32.03	-11.13	-72.68	-72.68	-16.27	-58.40	-58.27	-28.52	-59.56	-59.56	-15.87	-35.68	-32.11	-88.48	-39.61	-58	-30.16	-55.63	-54.64	1.953	-105.7	-73.72
CI_1_95_H	37.69	33.07	9.533	40.11	83.76	-4.600	18.36	-20.80	-30.58	68.76	-1.111	38.72	30.66	9.256	-0.470	7.374	6.057	-2.119	-4.430	-36.06	-36.06	-7.076	-27.31	-27.24	-11.05	-24.30	-24.30	1.969	7.064	13.35	-15.76	-12.75	-29.01	-1.965	-31.96	24.58	17.32	-70.83	-28.82
CI_1_99_L	5.342	-5.291	-29.85	9.816	26.94	-19.18	-2.069	-58.90	-77.60	27.71	-14.16	-63.07	-40.25	-46.38	-37.87	-22.60	-17.86	-37.11	-12.44	-78.62	-78.62	-17.78	-64.33	-64.33	-31.67	-64.99	-64.99	-18.99	-43.51	-41.79	-96.21	-45.23	-62.78	-34.84	-58.95	-67.86	-0.569	-111.9	-82.04
CI_1_99_H	41.89	37.73	19.44	45.97	92.91	-1.632	20.60	-14.17	-20.18	74.67	0.138	48.06	38.60	11.09	5.022	12.75	8.927	3.031	-3.318	-30.63	-30.63	-4.797	-23.63	-23.21	-6.826	-18.36	-18.36	5.567	16.02	21.58	1.972	-6.307	-23.52	3.032	-23.19	40.77	19.57	-65.35	-21.43
F-Stat	4.013	3.626	11.94	4.345	42.45	73.32	1.341	26.12	29.57	43.49	67.89	0.638	0.720	1.446	52.81	2.813	40.83	34.17	23.32	26.84	26.84	27.68	32.93	33.40	21.96	22.54	22.54	3.774	3.881	4.454	15.16	8.353	27.46	6.937	31.69	0.443	1.443	21.65	6.235
Num Firms	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Num Events	14	14	15	14	14	15	15	15	15	15	15	15	15	15	15	12	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	14	15	14	15	15	14	15	15
