	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)
VARIABLES	ADRBlue	ADRMinusDS	ARCO_US	BCS	BrazilCDS	BrazilEquity	DSBlue	EqIndex_US	INDEX_US	MexicoCDS	MexicoEquity	NMLbond2020	NMLbond2030	OfficialRate	PBR_US	SoybeanFutures_US	TS_US	TX_US	ValueBankINDEXDelev_US	ValueBankINDEXNew_US	ValueBankIndexAcct_US	ValueINDEXDelev_US	ValueINDEXNew_US	ValueIndexAcct_US	ValueNonFinINDEXDelev_US	ValueNonFinINDEXNew_US	ValueNonFinIndexAcct_US	ValueREINDEXDelev_US	ValueREINDEXNew_US	ValueREIndexAcct_US	YPF_US	boden15_ars	boden15_usd	bonarx_ars	bonarx_usd	defbond_eur	dolarblue	rsbond_usd_disc	rsbond_usd_par
																																							
cds_	10.71	4.508	15.98	11.01	5.748	3.989	10.60	-47.01	-79.44	0.0743	3.286	35.10	1.206	-0.716	7.457	-9.842	0.621	-10.63	-10.79	-83.16	-83.16	-16.00	-60.43	-60.29	-27.98	-58.63	-58.63	-13.28	-24.34	-24.62	-93.69	-48.02	-49.29	-28.84	-48.56	-58.99	10.37	-124.8	-18.37
	(15.95)	(17.63)	(13.21)	(18.02)	(17.77)	(4.941)	(5.818)	(13.10)	(16.20)	(10.98)	(4.258)	(64.92)	(40.35)	(1.430)	(10.86)	(9.595)	(7.314)	(12.10)	(2.259)	(12.91)	(12.91)	(4.253)	(13.25)	(13.27)	(10.18)	(19.76)	(19.76)	(10.22)	(26.96)	(27.30)	(22.09)	(12.07)	(19.09)	(9.429)	(10.68)	(52.78)	(3.325)	(11.93)	(16.26)
																																							
Observations	353	353	390	356	392	401	401	401	401	399	401	258	258	401	401	377	401	401	401	401	401	401	401	401	401	401	401	401	401	401	401	354	401	356	401	258	355	397	401
R-squared	0.116	0.070	0.215	0.101	0.536	0.564	0.024	0.360	0.366	0.545	0.595	-0.001	0.030	0.080	0.413	0.056	0.590	0.435	0.276	0.325	0.325	0.371	0.405	0.407	0.344	0.355	0.355	0.074	0.072	0.066	0.189	0.117	0.414	0.102	0.505	-0.015	0.025	0.322	0.115
CI_1_90_L	-18.72	-28.68	-14.16	-22.88	-32.73	-5.864	-7.125	-71.67	-105.1	-16.86	-7.081	-135.6	-52.65	-2.824	-19.72	-25.30	-16.18	-35.29	-14.77	-108	-108	-26.70	-84.87	-84.83	-50.03	-93	-93	-29.37	-71.89	-72.54	-133.1	-67.66	-95.38	-45.32	-69.80	-156.1	4.333	-142.2	-44.06
CI_1_90_H	68.71	73.42	41.39	90.15	32.84	10.30	19.05	-19.81	-49.31	18.26	8.358	133.1	95.16	1.527	24.85	12.39	10.88	10.92	-5.264	-65.19	-65.19	-6.935	-39.98	-39.72	-2.074	-15.67	-15.67	5.642	31.12	31.66	-48.56	-9.554	24.22	-6.885	-10.56	77.61	15.82	-100.5	34.08
CI_1_95_L	-29.40	-42.28	-22.85	-33.28	-40.87	-8.377	-11.70	-77.82	-110.3	-20.53	-10.57	-189.7	-63.27	-3.221	-27.27	-28.95	-18.90	-43.71	-16.19	-112.2	-112.2	-31.52	-89.43	-89.50	-57	-103.4	-103.4	-32.27	-80.87	-84.42	-141.1	-73.34	-108.9	-48.66	-74.97	-186.6	2.983	-146.2	-49.01
CI_1_95_H	86.61	92.66	45.91	106.1	40.82	11.50	21.57	-16.80	-41.05	21.85	9.260	152.9	103.1	1.853	32.99	22.33	12.72	14.84	-4.398	-60.95	-60.96	-4.218	-36.18	-35.85	3.515	-9.152	-9.152	10.79	42.82	43.15	-39.15	11.67	43.85	5.012	2.007	107.1	16.99	-93.49	44.85
CI_1_99_L	-62.88	-84.71	-45.79	-77.64	-53.02	-13.63	-20.16	-102.5	-121.8	-27.50	-14.79	-324.7	-94.52	-4.555	-34.91	-36.96	-22.95	-70.39	-18.90	-120	-120	-44.21	-99.91	-99.94	-78.08	-125.9	-125.9	-42.99	-116.6	-114.9	-167.4	-86.01	-161.2	-52.77	-96.51	-288.9	-0.186	-152.8	-62.83
CI_1_99_H	165.4	148.4	54.97	146.5	74.40	12.47	26.76	-9.316	-10.57	25.60	10.59	188.6	131.9	2.475	49.63	43.53	18.72	24.43	-2.553	-49.89	-49.89	0.350	-28.08	-27.31	17.35	9.190	9.190	19.21	87.15	92.43	-0.566	63.69	94.76	34.16	35.35	203.2	20.21	-74.54	71.98
WID F-Stat	361	361	293.7	368.5	308.8	338.3	338.3	338.3	338.3	333.8	338.3	137.4	137.4	338.3	338.3	505.6	338.3	338.3	338.3	338.3	338.3	338.3	338.3	338.3	338.3	338.3	338.3	338.3	338.3	338.3	338.3	363.4	338.3	368.5	338.3	137.4	366.1	346.5	338.3
Num Firms	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Num Events	14	14	15	14	14	15	15	15	15	15	15	15	15	15	15	12	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	14	15	14	15	15	14	15	15
