	(1)	(2)	(3)	(4)	(5)
VARIABLES	ADRBlue	ValueBankINDEXNew_US	ValueINDEXNew_US	ValueNonFinINDEXNew_US	YPF_US
					
cds_	16.40	-96.14	-55.19	-34.55	-84.30
	(8.784)	(19.32)	(16.98)	(17.83)	(19.78)
					
Observations	355	405	405	405	405
R-squared	0.057	0.227	0.341	0.315	0.187
CI_1_90_L	4.767	-139.5	-89.61	-71.91	-136.1
CI_1_90_H	38.20	-64.67	-23.32	-4.578	-47.04
CI_1_95_L	2.510	-154.7	-98.39	-81.62	-148.2
CI_1_95_H	45.84	-60.44	-19.52	-0.0700	-32.22
CI_1_99_L	-3.011	-180.4	-122.8	-98.63	-193.1
CI_1_99_H	57.63	-34.34	-11.44	14.48	-2.399
WID F-Stat	184.2	147.5	147.5	147.5	147.5
Num Firms	1	1	1	1	1
Num Events	14	15	15	15	15
