	(1)	(2)	(3)	(4)	(5)
VARIABLES	ADRBlue	ValueBankINDEXNew_US	ValueINDEXNew_US	ValueNonFinINDEXNew_US	YPF_US
					
cds_	14.34	-93.31	-54.76	-34.76	-81.45
	(10.33)	(20.80)	(16.96)	(17.84)	(19.76)
					
Observations	355	405	405	405	405
R-squared	0.046	0.219	0.330	0.310	0.191
CI_1_90_L	-1.227	-142.5	-91.32	-74.54	-126.8
CI_1_90_H	43.23	-60	-23.56	-4.786	-39.82
CI_1_95_L	-7.021	-154.5	-102.1	-85.66	-134.3
CI_1_95_H	54.11	-49.18	-19.96	-0.584	-18.04
CI_1_99_L	-11.95	-202.7	-128.4	-106.5	-161.4
CI_1_99_H	73.14	0.247	-5.302	14.15	17.51
WID F-Stat	157.7	127.3	127.3	127.3	127.3
Num Firms	1	1	1	1	1
Num Events	14	15	15	15	15
