	(1)	(2)	(3)	(4)	(5)
VARIABLES	ADRBlue	ValueBankINDEXNew_US	ValueINDEXNew_US	ValueNonFinINDEXNew_US	YPF_US
					
cds_	0.188	-1.947	-1.054	-0.508	-1.883
	(0.398)	(0.811)	(0.699)	(0.735)	(0.583)
					
Observations	349	388	388	388	388
R-squared	0.059	0.266	0.331	0.286	0.232
CI_1_90_L	-0.982	-4.361	-3.431	-3.308	-3.794
CI_1_90_H	2.184	-0.282	0.124	0.819	-0.242
CI_1_95_L	-1.714	-4.857	-4.167	-3.677	-4.498
CI_1_95_H	2.753	0.933	1.194	1.527	0.120
CI_1_99_L	-2.902	-5.946	-5.589	-5.277	-6.029
CI_1_99_H	3.753	4.078	2.357	2.800	0.902
WID F-Stat	553.8	481.2	481.2	481.2	481.2
Num Firms	1	1	1	1	1
Num Events	14	15	15	15	15
