	(1)	(2)	(3)	(4)	(5)
VARIABLES	ADRBlue	ValueBankINDEXNew_US	ValueINDEXNew_US	ValueNonFinINDEXNew_US	YPF_US
					
cds_	-6.818	69.23	35.81	15.62	66.83
	(14.24)	(29.63)	(25.43)	(26.63)	(20.61)
					
Observations	353	394	394	394	394
R-squared	0.058	0.258	0.329	0.286	0.240
CI_1_90_L	-80.85	5.447	-11.52	-38.62	15.45
CI_1_90_H	28.96	149.9	119.4	108.5	128.6
CI_1_95_L	-93.40	-33.19	-38.95	-73.98	2.034
CI_1_95_H	54.14	187.1	173.1	129.1	144.2
CI_1_99_L	-118.9	-148.4	-123.2	-162.1	-21.92
CI_1_99_H	111.8	260.2	276.4	249.1	171.9
WID F-Stat	366.8	314.8	314.8	314.8	314.8
Num Firms	1	1	1	1	1
Num Events	14	15	15	15	15
