	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	ADRBlue	BCS	INDEX_US	OfficialRate	ValueBankINDEXNew_US	ValueINDEXNew_US	ValueNonFinINDEXNew_US	YPF_US	dolarblue
									
cds_	7.218	8.781	-79.20	-1.562	-79.00	-58.75	-60.17	-94.88	11.29
	(15.94)	(18.27)	(16.24)	(1.378)	(12.90)	(13.21)	(19.67)	(22.22)	(3.422)
									
Observations	352	355	400	400	400	400	400	400	354
R-squared	0.109	0.093	0.367	0.076	0.332	0.409	0.355	0.188	0.026
CI_1_90_L	-21.97	-35.08	-107.2	-3.132	-106.4	-84.63	-96.32	-137.6	4.908
CI_1_90_H	100.1	87.54	-49.21	2.857	-60.11	-38.20	-17.12	-48.91	16.71
CI_1_95_L	-33.03	-51.68	-110.9	-3.440	-111.8	-89.56	-108.6	-145	3.269
CI_1_95_H	123.8	127.4	-43.93	3.316	-56.46	-35.81	-8.215	-40.67	17.93
CI_1_99_L	-60.93	-107	-117.8	-4.217	-124.5	-98.41	-138.7	-169.3	-0.168
CI_1_99_H	182	182.7	-28.12	5.332	-47.51	-31.21	3.126	-16.95	22.23
WID F-Stat	443.2	451.9	419.1	419.1	419.1	419.1	419.1	419.1	449.5
Num Firms	1	1	1	1	1	1	1	1	1
Num Events	12	12	13	13	13	13	13	13	12
