	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	ADRBlue	BCS	INDEX_US	OfficialRate	ValueBankINDEXNew_US	ValueINDEXNew_US	ValueNonFinINDEXNew_US	YPF_US	dolarblue
									
cds_	-0.683	-0.322	-69.02	-0.743	-71.45	-50.50	-48.38	-84.07	12.74
	(14.18)	(20.61)	(21.76)	(0.957)	(21.69)	(20.11)	(21.32)	(31.36)	(6.453)
									
Observations	735	738	815	815	815	815	815	813	737
R-squared	0.049	0.026	0.351	0.013	0.310	0.392	0.330	0.147	0.022
CI_1_90_L	-54.82	-124.6	-148.4	-2.015	-147.9	-147.4	-117.8	-184.3	-22.07
CI_1_90_H	89.71	226.2	-22.54	1.938	-23.55	-15.20	-10.83	60.61	35.39
CI_1_95_L	-87.83	-176.3	-177.9	-2.279	-169	-185.3	-146	-212	-29.86
CI_1_95_H	104.7	313.3	-10.74	2.632	-14.27	-9.194	-0.0268	90.55	39.55
CI_1_99_L	-141	-313.5	-236.5	-3.090	-218	-297.4	-208	-332.4	-41
CI_1_99_H	143.9	501.9	58.58	3.760	47.10	23.29	59.12	204	47.97
WID F-Stat	180.5	182	276.3	276.3	276.3	276.3	276.3	279.2	181.1
Num Firms	1	1	1	1	1	1	1	1	1
Num Events	17	17	20	20	20	20	20	20	17
