	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	ADRBlue	BCS	INDEX_US	OfficialRate	ValueBankINDEXNew_US	ValueINDEXNew_US	ValueNonFinINDEXNew_US	YPF_US	dolarblue
									
cds_	-2.315	-2.703	-1.336	-0.0586	-2.436	-1.029	-0.509	-1.364	1.569
	(4.818)	(5.709)	(2.090)	(0.0895)	(2.697)	(1.825)	(1.699)	(2.434)	(3.226)
									
Observations	351	354	399	399	399	399	399	399	353
R-squared	-1.521	-2.592	0.221	0.082	-0.063	0.257	0.292	0.148	-0.723
CI_1_90_L	-3.940	-4.711	-4.546	-0.162	-5.564	-3.898	-3.539	-5.384	-12.40
CI_1_90_H	9.410	11.62	4.785	0.121	5.935	4.461	5.062	5.454	2.080
CI_1_95_L	-4.439	-5.085	-5.531	-0.183	-6.221	-4.646	-4.472	-6.758	-14.73
CI_1_95_H	15.98	16.92	9.619	0.161	9.678	7.796	7.863	9.093	2.177
CI_1_99_L	-4.911	-5.587	-7.889	-0.221	-7.760	-6.933	-6.972	-9.698	-23.57
CI_1_99_H	42.07	63.71	18.02	0.325	22.47	15.29	13.27	15.51	2.278
WID F-Stat	0.221	0.229	5.456	5.456	5.456	5.456	5.456	5.456	0.235
Num Firms	1	1	1	1	1	1	1	1	1
Num Events	14	14	15	15	15	15	15	15	14
