	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	ADRBlue	BCS	INDEX_US	OfficialRate	ValueBankINDEXNew_US	ValueINDEXNew_US	ValueNonFinINDEXNew_US	YPF_US	dolarblue
									
cds_	-77.73	-88.71	74.69	5.863	185.8	72.15	28.48	53.61	24.16
	(150.6)	(174.5)	(220.5)	(10.80)	(416.6)	(216.7)	(163.0)	(217.5)	(47.05)
									
Observations	355	358	405	405	405	405	405	405	357
R-squared	-1.805	-2.803	-0.181	0.025	-2.148	-0.345	0.209	0.095	-0.216
CI_1_90_L	-108.7	-126.7	-1095	-46.56	-2410	-1138	-546.9	-523.7	-161.1
CI_1_90_H	1184	1252	139.1	11.02	266.8	130.9	95.92	147.5	37.13
CI_1_95_L	-112.2	-130	-1476	-61.48	-3460	-1360	-757	-715.3	-212.6
CI_1_95_H	1482	1755	177.7	12.33	335	176.2	125.1	175.1	39.82
CI_1_99_L	-117.8	-135.4	-2141	-113.5	-9159	-2529	-985.6	-1087	-304.1
CI_1_99_H	2412	3432	252.2	17.16	410.3	237.1	194.8	253.9	43.12
WID F-Stat	0.355	0.339	0.350	0.350	0.350	0.350	0.350	0.350	0.345
Num Firms	1	1	1	1	1	1	1	1	1
Num Events	14	14	15	15	15	15	15	15	14
