	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	ADRBlue	BCS	INDEX_US	OfficialRate	ValueBankINDEXNew_US	ValueINDEXNew_US	ValueNonFinINDEXNew_US	YPF_US	dolarblue
									
cds_	-14.37	-12.34	64.68	-0.156	70.70	51.11	47.41	75.89	-11.61
	(13.15)	(15.37)	(13.74)	(1.212)	(16.65)	(10.18)	(13.12)	(19.06)	(4.843)
									
Observations	353	356	401	401	401	401	401	401	355
R-squared	0.125	0.098	0.283	0.085	0.242	0.326	0.289	0.157	-0.002
CI_1_90_L	-56	-68.89	33.06	-1.803	40.79	29.12	17.41	29.47	-20.13
CI_1_90_H	5.524	15.04	82.03	1.726	96.30	63.32	64.37	99.44	-1.689
CI_1_95_L	-64.46	-82.35	24.87	-2.037	33.91	24.26	12.12	19.02	-21.54
CI_1_95_H	9.544	23.37	84.41	2.151	98.82	64.92	67.86	102.9	-0.0239
CI_1_99_L	-96.26	-100.9	3.839	-2.610	-7.932	12.91	0.0914	2.693	-23.73
CI_1_99_H	23.16	39.60	91.84	4.110	106.2	72.74	73.89	114.5	5.637
WID F-Stat	40.70	41.15	72.87	72.87	72.87	72.87	72.87	72.87	41.25
Num Firms	1	1	1	1	1	1	1	1	1
Num Events	14	14	15	15	15	15	15	15	14
