	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	ADRBlue	BCS	INDEX_US	OfficialRate	ValueBankINDEXNew_US	ValueINDEXNew_US	ValueNonFinINDEXNew_US	YPF_US	dolarblue
									
cds_	0.969	0.863	-4.238	0.0103	-4.761	-3.299	-2.952	-4.979	0.755
	(0.768)	(0.894)	(0.835)	(0.0796)	(0.913)	(0.689)	(0.918)	(1.192)	(0.298)
									
Observations	351	354	399	399	399	399	399	399	353
R-squared	0.139	0.111	0.311	0.085	0.253	0.346	0.318	0.171	0.001
CI_1_90_L	-0.0845	-0.774	-5.260	-0.114	-6.006	-4.242	-4.295	-6.502	0.0714
CI_1_90_H	2.952	3.689	-2.289	0.113	-3.285	-2.011	-1.050	-2.145	1.308
CI_1_95_L	-0.315	-1.210	-5.497	-0.131	-6.241	-4.405	-4.574	-6.795	-0.0940
CI_1_95_H	3.352	4.415	-1.968	0.127	-2.950	-1.836	-0.725	-1.515	1.397
CI_1_99_L	-0.790	-2.101	-5.845	-0.194	-6.777	-4.798	-5.025	-7.541	-0.335
CI_1_99_H	4.433	6.130	-1.204	0.174	-1.975	-1.180	-0.0504	-0.809	1.561
WID F-Stat	56.03	56.78	88.58	88.58	88.58	88.58	88.58	88.58	56.83
Num Firms	1	1	1	1	1	1	1	1	1
Num Events	14	14	15	15	15	15	15	15	14
