	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	ADRBlue	BCS	INDEX_US	OfficialRate	ValueBankINDEXNew_US	ValueINDEXNew_US	ValueNonFinINDEXNew_US	YPF_US	dolarblue
									
cds_	3.750	3.226	-47.45	-0.540	-49.23	-35.69	-34.93	-58.40	6.480
	(11.56)	(12.90)	(8.227)	(0.825)	(7.842)	(6.830)	(10.29)	(12.02)	(1.802)
									
Observations	355	358	405	405	405	405	405	405	357
R-squared	0.102	0.072	0.394	0.080	0.338	0.419	0.371	0.216	0.023
CI_1_90_L	-20.77	-31.15	-60.12	-1.586	-62.77	-48.02	-53.89	-81.46	3.070
CI_1_90_H	72.10	72.23	-34.81	0.906	-36.98	-26.68	-15.46	-37.56	9.360
CI_1_95_L	-33.28	-42.58	-63.74	-1.757	-65.30	-50.55	-58.35	-86.22	2.266
CI_1_95_H	88.62	78.86	-32.63	1.087	-34.94	-25.09	-12.16	-34.35	10.14
CI_1_99_L	-92.29	-70.31	-70.85	-2.302	-71.90	-53.79	-64.52	-102.2	0.554
CI_1_99_H	139.1	104.6	-19.58	1.525	-31.61	-21.71	-4.729	-24.35	11.63
WID F-Stat	747.5	761	554.6	554.6	554.6	554.6	554.6	554.6	756.9
Num Firms	1	1	1	1	1	1	1	1	1
Num Events	14	14	15	15	15	15	15	15	14
